GLN Proveedor CPP                  Descripción                                                                   GTIN13 Pide x unid Unid/c 
7737001220016 0547522              BARRA CROC MAN.DELI 1X20X23 GR                                              77917249 N               20 
7737001220016 0548129              BARRA CROCANTE COCO                                                         77922151 N               20 
7737001220016 0548515              ALF.MILKA MOUSSE SIMPLE 36X40G                                              77960160 N               36 
7737001220016 0548516              ALF MILKA TRIPLE MOUSSE 36 X 55 G                                           77903785 N               36 
7737001220016 0548517              ALF DDL MILKA TRIPLE 36 U X 70 GRS                                          77903778 N               36 
7737001220016 0548552              ALF.TRI.PEPITOS NUEVO 36X57 G                                               77915481 N               36 
7737001220016 0548554              ALFAJOR TRIPLE OREO X 55GRS                                                 77916495 N               36 
7737001220016 0548955              ALFAJOR TERRA  48 X 50 GR                                                   77939234 N               48 
7737001220016 0549269              VARIEDAD CHOCOLATE 21X300GR                                            7794600002047 N               21 
7737001220016 0549270              VARIEDAD CARTOON 21 X 300 GR                                           7622300208080 N               21 
7737001220016 0549654              COMBO ROY POSTRE CARAM 99G 63U                                         7622300210977 N               63 
7737001220016 0549671              COMBO ROY POSTRE CHOC 129G 63U                                         7622300211134 N               63 
7737001220016 0549681              COMBO ROY POSTRE VAIN 81 G 63U                                         7622300211189 N               63 
7737001220016 0549683              COMBO ROY FLAN VAIN 81 G 63 U                                          7622300211196 N               63 
7737001220016 0549685              COMBO ROY GEL CEREZA 81 G 63 U                                         7622300211202 N               63 
7737001220016 0549687              COMBO ROY GELAT FRUT 81G 63 U                                          7622300211219 N               63 
7737001220016 0549690              COMBO ROYARIN GEL DUR 81 G 63U                                         7622300211233 N               63 
7737001220016 0549692              COMBO ROY SALSA BCA 110 G 63 U                                         7622300211240 N               63 
7737001220016 0566999              MILKA LEGER ALMENDRAS 36X25GR.                                              77916013 N               36 
7737001220016 0569999              MILKA LEGER COMBINADO 30X45GR.                                              77916129 N               30 
7737001220016 0586098              POSTRE ROYARINA CHOC 77G 80 U                                          7730110124060 N               96 
7737001220016 0586257              MILKA CASTANAS C/CARAME 21X170                                         7622300057169 N               21 
7737001220016 0586259              MILKA LECHE 22 X 170 G                                                 7790114900657 N               22 
7737001220016 0587704              POSTRE ROYARINA CHOC 38,5G 96U                                         7622300226237 N               80 
7737001220016 0587735              AGUA X 140                                                             7622300226480 N               54 
7737001220016 0587752              AGUA FAMOSA 18X420 GR                                                  7622300226633 N               18 
7737001220016 0587756              AGUA SIN SAL FAMOSA 18X420 GR.                                         7622300226657 N               18 
7737001220016 0604604              SODA CRACKER 18 U X 420 GRS                                            7622300250980 N               18 
7737001220016 0604606              SODA CRACKER 54 U X 140 GRS                                            7622300250997 N               54 
7737001220016 0605446              AGUA FAMOSA 13 UN X 560 GRS                                            7622300258269 N               13 
7737001220016 0867999              MILKA LEGER LECHE  30X45GR.                                                 77916105 N               30 
7737001220016 0977598              GELATINA LIGHT CEREZA 8X6X25GR                                         7793333671322 N               48 
7737001220016 0977612              CEREALITAS 30 PQ.X 105 GR.                                             7794910011531 N               30 
7737001220016 0977658              CLUB SOCIAL 24 PQ. X 234 GR.                                           7794600459100 N               24 
7737001220016 0977688              ALF.MILKA MOUSSE LECHE 36X6X40                                         7790114060016 N              216 
7737001220016 0977693              ALFAJOR CHOC 16 PQ X 6 UN                                              7794600025107 N               96 
