GLN Proveedor CPP                  Descripción                                                            Marca                          División                              GTIN13 Unid/c Promo F alta         Estado 
7730962840019 1210025025           CURRY 25 X 25 G                                                        MONTE CUDINE                                                  7730177000284     25 N     20150520T1102  A      
7730962840019 1223112020           ESENCIA DE ALMENDRA 12 X 20 CC                                         MONTE CUDINE                                                       77310286     12 N     20150520T1102  A      
7730962840019 1223712020           ESENCIA MENTA CJ 12 X 20 CC                                            MONTE CUDINE                                                       77310293     12 N     20150520T1102  A      
7730962840019 1260000504           PACK SOPAS 2CR CHOCLO+INST CALAB LIGHT                                 MONTE CUDINE                                                  7730177004534      1 N     20150520T1102  A      
7730962840019 1260000505           PACK SOPAS 2CR ESPAR+INST CHOCLO LIGHT                                 MONTE CUDINE                                                  7730177004541      1 N     20150520T1102  A      
7730962840019 1260000506           PACK SOPAS 2 CARNE C/FIDEOS+INST CALAB                                 MONTE CUDINE                                                  7730177004558      1 N     20150520T1102  A      
7730962840019 1260000507           PACK SOPAS 2 GALLINA C/FIDEOS+ INST VEGET                              MONTE CUDINE                                                  7730177004565      1 N     20150520T1102  A      
7730962840019 1270001000           MOJO PARRILLERO 1 KG                                                   MONTE CUDINE                                                  7730177000949      1 N     20150520T1102  A      
7730962840019 1270006045           MOJO PARRILLERO 6 X 45 G                                               MONTE CUDINE                                                  7730177003322      6 N     20150520T1102  A      
7730962840019 1270025010           MOJO PARRILLERO 25 X 10 G                                              MONTE CUDINE                                                  7730177000260     25 N     20150520T1102  A      
7730962840019 1301001000           NUEZ MOSCADA MOLIDA 1 KG                                               MONTE CUDINE                                                  7730177001281      1 N     20150520T1102  A      
7730962840019 1301025005           NUEZ MOSCADA MOLIDA 25 X 5 G                                           MONTE CUDINE                                                       77304926     25 N     20150520T1102  A      
7730962840019 1301050005           NUEZ MOSCADA MOLIDA 50 X 5 G                                           MONTE CUDINE                                                       77304926     50 N     20150520T1102  A      
7730962840019 1301101000           NUEZ MOSCADA EN GRANO 1 KG                                             MONTE CUDINE                                                  7730177001519      1 N     20150520T1102  A      
7730962840019 1301112501           NUEZ MOSCADA EN GRANO 25 X 8 G                                         MONTE CUDINE                                                  7730177003872     25 N     20150520T1102  A      
7730962840019 1310000500           OREGANO 500 G                                                          MONTE CUDINE                                                  7730177000970      1 N     20150520T1102  A      
7730962840019 1310001000           OREGANO 1 KG                                                           MONTE CUDINE                                                  7730177000963      1 N     20150520T1102  A      
7730962840019 1310006085           OREGANO 6 X 85 G                                                       MONTE CUDINE                                                  7730177003285      6 N     20150520T1102  A      
7730962840019 1310010006           OREGANO T.INGLESA 10 X 6 G                                             TIENDA INGLESA                                                7730127003372     10 N     20150520T1102  A      
7730962840019 1310025004           OREGANO 25 X 4 G                                                       MONTE CUDINE                                                       77310699     25 N     20150520T1102  A      
7730962840019 1310025010           OREGANO 25 X 10 G                                                      MONTE CUDINE                                                  7730177000147     25 N     20150520T1102  A      
7730962840019 1310030025           OREGANO 30 X 25G                                                       MONTE CUDINE                                                  7730177000048     30 N     20150520T1102  A      
7730962840019 1310030050           OREGANO 30X50G                                                         MONTE CUDINE                                                  7730177000062     30 N     20150520T1102  A      
7730962840019 1310050004           OREGANO 50 X 4 G                                                       MONTE CUDINE                                                       77310699     50 N     20150520T1102  A      
7730962840019 1317000200           OREGANO LA ROSA 200 G                                                  LA ROSA                                                       7730177002943      1 N     20150520T1102  A      
7730962840019 1317000500           OREGANO LA ROSA  500 G                                                 LA ROSA                                                       7730177002004      1 N     20150520T1102  A      
7730962840019 1317001000           OREGANO LA ROSA 1 KG                                                   LA ROSA                                                       7730177001748      1 N     20150520T1102  A      
7730962840019 1340006120           PIMENTON 6X120G                                                        MONTE CUDINE                                                  7730177004503      6 N     20150520T1102  A      
7730962840019 1340010035           PIMENTON T.INGLESA 10 X 35 G                                           TIENDA INGLESA                                                7730127003389     10 N     20150520T1102  A      
7730962840019 1340025008           PIMENTON 25 X 8 G                                                      MONTE CUDINE                                                       77304292     25 N     20150520T1102  A      
7730962840019 1340025025           PIMENTON 25 X 25 G                                                     MONTE CUDINE                                                  7730177000253     25 N     20150520T1102  A      
7730962840019 1340025050           PIMENTON 25 X 50 G                                                     MONTE CUDINE                                                  7730177000154     25 N     20150520T1102  A      
7730962840019 1340050008           PIMENTON 50 X 8 G                                                      MONTE CUDINE                                                       77304292     50 N     20150520T1102  A      
7730962840019 1347000250           PIMENTON LA ROSA 250 G                                                 LA ROSA                                                       7730177002950      1 N     20150520T1102  A      
7730962840019 1347000500           PIMENTON LA ROSA 500 G                                                 LA ROSA                                                       7730177001960      1 N     20150520T1102  A      
7730962840019 1347001000           PIMENTON LA ROSA 1 KG                                                  LA ROSA                                                       7730177001953      1 N     20150520T1102  A      
7730962840019 1347500500           CONDIM. A BASE PIMENTON LA ROSA 500 G                                  LA ROSA                                                       7730177002271      1 N     20150520T1102  A      
7730962840019 1347501000           CONDIM. A BASE PIMENTON LA ROSA 1 KG                                   LA ROSA                                                       7730177002288      1 N     20150520T1102  A      
